name	represents	ambiguous	bait
DNMT3A	ensembl:ENSG00000119772		True
HDAC2	ensembl:ENSG00000196591		True
KDM6A	ensembl:ENSG00000147050		True
SMARCA4	ensembl:ENSG00000127616		True
SAP18	ensembl:ENSG00000150459		False
DDX3X	ensembl:ENSG00000215301		False
SEC16A	ensembl:ENSG00000148396		False
U2SURP	ensembl:ENSG00000163714		False
SYNJ2	ensembl:ENSG00000078269		False
DHX15	ensembl:ENSG00000109606		False
HNRNPR	ensembl:ENSG00000282958;ENSG00000125944		False
SYNCRIP	ensembl:ENSG00000135316		False
MRPS14	ensembl:ENSG00000120333		False
DNAJA2	ensembl:ENSG00000069345		False
FLNB	ensembl:ENSG00000136068		False
NCOR1	ensembl:ENSG00000141027		False
PRPF40A	ensembl:ENSG00000196504		False
SRSF10	ensembl:ENSG00000188529		False
SNRNP200	ensembl:ENSG00000144028		False
BCAS2	ensembl:ENSG00000116752		False
LUC7L3	ensembl:ENSG00000108848		False
LDHA	ensembl:ENSG00000288299;ENSG00000134333		False
EGFR	ensembl:ENSG00000146648		False
PLG	ensembl:ENSG00000122194		False
HSPB1	ensembl:ENSG00000106211		False
ATP1A1	ensembl:ENSG00000163399		False
SLC25A5	ensembl:ENSG00000005022		False
KRT18	ensembl:ENSG00000111057		False
ATP5F1B	ensembl:ENSG00000110955		False
NPM1	ensembl:ENSG00000181163		False
H1-0	ensembl:ENSG00000189060		False
TUBB	ensembl:ENSG00000229684;ENSG00000183311;ENSG00000235067;ENSG00000232421;ENSG00000196230;ENSG00000232575;ENSG00000224156;ENSG00000227739		False
HNRNPC	ensembl:ENSG00000092199		False
SNRNP70	ensembl:ENSG00000104852		False
TPM1	ensembl:ENSG00000140416		False
HSPA5	ensembl:ENSG00000044574		False
HSPA8	ensembl:ENSG00000109971		False
DBT	ensembl:ENSG00000137992		False
PABPC1	ensembl:ENSG00000070756		False
SLC25A6	ensembl:ENSG00000169100		False
BCKDHA	ensembl:ENSG00000248098		False
HNRNPL	ensembl:ENSG00000282947;ENSG00000104824		False
RPS2	ensembl:ENSG00000140988		False
H1-5	ensembl:ENSG00000184357		False
DDX5	ensembl:ENSG00000108654		False
RPL35A	ensembl:ENSG00000182899		False
RPL7	ensembl:ENSG00000147604		False
SON	ensembl:ENSG00000159140		False
RPL17	ensembl:ENSG00000265681		False
NCL	ensembl:ENSG00000115053		False
PCMT1	ensembl:ENSG00000120265		False
FBL	ensembl:ENSG00000280548;ENSG00000105202		False
HNRNPA2B1	ensembl:ENSG00000122566		False
SFPQ	ensembl:ENSG00000116560		False
RPS3	ensembl:ENSG00000149273		False
CFL1	ensembl:ENSG00000172757		False
RPS12	ensembl:ENSG00000112306		False
ATP5F1A	ensembl:ENSG00000152234		False
U2AF2	ensembl:ENSG00000063244		False
RPL13	ensembl:ENSG00000167526		False
PTBP1	ensembl:ENSG00000011304		False
RPL10	ensembl:ENSG00000147403		False
ABCD3	ensembl:ENSG00000117528		False
GRN	ensembl:ENSG00000030582		False
HNRNPH1	ensembl:ENSG00000284254;ENSG00000169045		False
RPL4	ensembl:ENSG00000174444		False
RBMX	ensembl:ENSG00000147274		False
HSPA9	ensembl:ENSG00000113013		False
EIF4A3	ensembl:ENSG00000141543		False
RPS19	ensembl:ENSG00000105372		False
RPL3	ensembl:ENSG00000100316		False
RPS27	ensembl:ENSG00000177954		False
MATR3	ensembl:ENSG00000015479;ENSG00000280987		False
VDAC2	ensembl:ENSG00000165637		False
RPL5	ensembl:ENSG00000122406		False
RPS9	ensembl:ENSG00000278270;ENSG00000274005;ENSG00000274646;ENSG00000277359;ENSG00000170889;ENSG00000274950;ENSG00000277079;ENSG00000275323;ENSG00000278081;ENSG00000274626		False
RPS5	ensembl:ENSG00000083845		False
RPL29	ensembl:ENSG00000162244		False
ATP5PO	ensembl:ENSG00000241837		False
TUFM	ensembl:ENSG00000178952		False
RARRES1	ensembl:ENSG00000118849		False
EMD	ensembl:ENSG00000102119		False
RPL14	ensembl:ENSG00000188846		False
SSR4	ensembl:ENSG00000180879		False
HNRNPA3	ensembl:ENSG00000170144		False
HNRNPM	ensembl:ENSG00000099783		False
HNRNPF	ensembl:ENSG00000169813		False
COPA	ensembl:ENSG00000122218		False
HNRNPH2	ensembl:ENSG00000126945		False
MARS1	ensembl:ENSG00000166986		False
RPS20	ensembl:ENSG00000008988		False
RPL15	ensembl:ENSG00000174748		False
HNRNPK	ensembl:ENSG00000165119		False
RPS8	ensembl:ENSG00000142937		False
RPS15A	ensembl:ENSG00000134419		False
RPS16	ensembl:ENSG00000105193		False
RPS13	ensembl:ENSG00000110700		False
SNRPD1	ensembl:ENSG00000167088		False
SNRPD3	ensembl:ENSG00000100028		False
RPL7A	ensembl:ENSG00000148303;ENSG00000280858		False
RPS4X	ensembl:ENSG00000198034		False
RPS6	ensembl:ENSG00000137154		False
RAN	ensembl:ENSG00000132341		False
RPL23	ensembl:ENSG00000125691		False
RPS24	ensembl:ENSG00000138326		False
RPS28	ensembl:ENSG00000233927		False
RPL30	ensembl:ENSG00000156482		False
RPL31	ensembl:ENSG00000071082		False
RPL10A	ensembl:ENSG00000198755		False
RPL32	ensembl:ENSG00000144713		False
RPL8	ensembl:ENSG00000161016		False
TRA2B	ensembl:ENSG00000136527		False
RACK1	ensembl:ENSG00000204628		False
YBX1	ensembl:ENSG00000065978		False
TUBB4B	ensembl:ENSG00000188229		False
H3C12	ensembl:ENSG00000197153		False
PRKDC	ensembl:ENSG00000253729		False
RPL24	ensembl:ENSG00000114391		False
ERH	ensembl:ENSG00000100632		False
RPL19	ensembl:ENSG00000108298		False
CLTC	ensembl:ENSG00000141367		False
HNRNPU	ensembl:ENSG00000153187		False
RPL18A	ensembl:ENSG00000105640		False
RPL6	ensembl:ENSG00000089009		False
SRSF11	ensembl:ENSG00000116754		False
RPL18	ensembl:ENSG00000063177		False
KHDRBS1	ensembl:ENSG00000121774		False
ILF2	ensembl:ENSG00000143621		False
ILF3	ensembl:ENSG00000129351		False
FLII	ensembl:ENSG00000284571;ENSG00000177731		False
CBX3	ensembl:ENSG00000122565		False
PABPC4	ensembl:ENSG00000090621		False
SF3B2	ensembl:ENSG00000087365		False
PRPF4B	ensembl:ENSG00000112739		False
TRIM29	ensembl:ENSG00000137699		False
DYNC1H1	ensembl:ENSG00000197102		False
EFTUD2	ensembl:ENSG00000108883		False
PLEC	ensembl:ENSG00000178209		False
PCM1	ensembl:ENSG00000078674		False
NONO	ensembl:ENSG00000147140		False
RNPS1	ensembl:ENSG00000205937		False
SF3B3	ensembl:ENSG00000189091		False
SRSF7	ensembl:ENSG00000115875		False
HNRNPUL2	ensembl:ENSG00000214753		False
GORAB	ensembl:ENSG00000120370		False
PRPF8	ensembl:ENSG00000174231;ENSG00000274442		False
ZC3H14	ensembl:ENSG00000100722		False
CCDC9B	ensembl:ENSG00000188549		False
H3C15	ensembl:ENSG00000203852		False
DDX46	ensembl:ENSG00000145833		False
IRF2BP2	ensembl:ENSG00000168264		False
PABPN1	ensembl:ENSG00000100836		False
IRF2BP1	ensembl:ENSG00000170604		False
SRRM1	ensembl:ENSG00000133226		False
NKAP	ensembl:ENSG00000101882		False
SREK1IP1	ensembl:ENSG00000153006		False
GATD1	ensembl:ENSG00000177225		False
EPS8L1	ensembl:ENSG00000131037		False
DDX1	ensembl:ENSG00000079785		False
DDX17	ensembl:ENSG00000100201		False
UPF1	ensembl:ENSG00000005007		False
ZBTB10	ensembl:ENSG00000205189		False
PGAM5	ensembl:ENSG00000247077		False
PAWR	ensembl:ENSG00000177425		False
FYTTD1	ensembl:ENSG00000122068		False
CDC5L	ensembl:ENSG00000096401		False
CCT7	ensembl:ENSG00000135624		False
POLDIP3	ensembl:ENSG00000100227		False
UBA5	ensembl:ENSG00000081307		False
PNN	ensembl:ENSG00000100941		False
BCL2L12	ensembl:ENSG00000126453		False
ZCCHC17	ensembl:ENSG00000121766		False
DDX21	ensembl:ENSG00000165732		False
LANCL2	ensembl:ENSG00000132434		False
SLTM	ensembl:ENSG00000137776		False
BCLAF1	ensembl:ENSG00000029363		False
TECR	ensembl:ENSG00000099797		False
DNMT3B	ensembl:ENSG00000088305		False
PUF60	ensembl:ENSG00000179950;ENSG00000274081		False
DDX41	ensembl:ENSG00000183258		False
RALY	ensembl:ENSG00000125970		False
PRPF19	ensembl:ENSG00000110107		False
SRRM2	ensembl:ENSG00000167978		False
THRAP3	ensembl:ENSG00000054118		False
NOP16	ensembl:ENSG00000048162		False
CHTOP	ensembl:ENSG00000160679		False
RBM8A	ensembl:ENSG00000265241		False
RPLP2	ensembl:ENSG00000177600		False
ENO1	ensembl:ENSG00000074800		False
LMNB1	ensembl:ENSG00000113368		False
EEF1G	ensembl:ENSG00000254772		False
RPL21	ensembl:ENSG00000122026		False
RPL28	ensembl:ENSG00000108107		False
VCP	ensembl:ENSG00000165280		False
EPPK1	ensembl:ENSG00000261150		False
RPS3A	ensembl:ENSG00000145425		False
RPL27	ensembl:ENSG00000131469		False
RPS11	ensembl:ENSG00000142534		False
H4C9	ensembl:ENSG00000276180		False
RPL36A	ensembl:ENSG00000241343		False
LOC102724594	ensembl:ENSG00000275895		False
SRSF1	ensembl:ENSG00000136450;ENSG00000266086		False
TRIM28	ensembl:ENSG00000130726		False
RBM39	ensembl:ENSG00000131051		False
RBM14	ensembl:ENSG00000239306		False
RBM15	ensembl:ENSG00000162775		False
TMOD3	ensembl:ENSG00000138594		False
PRR12	ensembl:ENSG00000126464		False
FCF1	ensembl:ENSG00000119616		False
EPRS1	ensembl:ENSG00000136628		False
TERF2	ensembl:ENSG00000132604		False
SERBP1	ensembl:ENSG00000142864		False
SLIRP	ensembl:ENSG00000119705		False
S100A14	ensembl:ENSG00000189334		False
RTRAF	ensembl:ENSG00000087302		False
CCDC9	ensembl:ENSG00000105321		False
RPN1	ensembl:ENSG00000163902		False
CD44	ensembl:ENSG00000026508		False
ATP5F1C	ensembl:ENSG00000165629		False
HADHA	ensembl:ENSG00000084754		False
EIF3B	ensembl:ENSG00000106263		False
MTCP1	ensembl:ENSG00000214827		False
FMR1	ensembl:ENSG00000102081		False
SRSF9	ensembl:ENSG00000111786		False
PPIG	ensembl:ENSG00000138398		False
MAP7	ensembl:ENSG00000135525		False
NUMA1	ensembl:ENSG00000137497		False
RCN1	ensembl:ENSG00000049449		False
PCBP1	ensembl:ENSG00000169564		False
SAFB	ensembl:ENSG00000160633		False
MPP7	ensembl:ENSG00000150054		False
LLGL2	ensembl:ENSG00000073350		False
FBXO11	ensembl:ENSG00000138081		False
HNRNPUL1	ensembl:ENSG00000105323		False
DHCR7	ensembl:ENSG00000172893		False
RTCB	ensembl:ENSG00000100220		False
NDUFA4	ensembl:ENSG00000189043		False
TPM3	ensembl:ENSG00000143549		False
RPL12	ensembl:ENSG00000197958		False
SFN	ensembl:ENSG00000175793		False
CCT6A	ensembl:ENSG00000146731		False
SLC25A1	ensembl:ENSG00000100075		False
S100A10	ensembl:ENSG00000197747		False
PPIA	ensembl:ENSG00000196262		False
TPM4	ensembl:ENSG00000167460		False
CAPRIN1	ensembl:ENSG00000135387		False
G3BP2	ensembl:ENSG00000138757		False
SF3B6	ensembl:ENSG00000115128		False
MTCH2	ensembl:ENSG00000109919;ENSG00000285121		False
PHGDH	ensembl:ENSG00000092621		False
RPLP1	ensembl:ENSG00000137818		False
HSP90B1	ensembl:ENSG00000166598		False
TCP1	ensembl:ENSG00000120438		False
ARF4	ensembl:ENSG00000168374		False
FLNA	ensembl:ENSG00000196924		False
EEF1D	ensembl:ENSG00000273594;ENSG00000104529		False
FASN	ensembl:ENSG00000169710		False
RPL23A	ensembl:ENSG00000198242		False
YWHAZ	ensembl:ENSG00000164924		False
DYNLL1	ensembl:ENSG00000088986		False
ACTG1	ensembl:ENSG00000184009		False
SRSF3	ensembl:ENSG00000112081		False
SLC25A3	ensembl:ENSG00000075415		False
CAP1	ensembl:ENSG00000131236		False
DHX9	ensembl:ENSG00000135829		False
HNRNPD	ensembl:ENSG00000138668		False
MVP	ensembl:ENSG00000013364		False
CCDC137	ensembl:ENSG00000185298		False
ZSWIM9	ensembl:ENSG00000185453		False
RP9	ensembl:ENSG00000164610		False
RPL36AL	ensembl:ENSG00000165502		False
AURKAIP1	ensembl:ENSG00000175756		False
RPL36	ensembl:ENSG00000130255		False
MYO1C	ensembl:ENSG00000197879		False
MYO1B	ensembl:ENSG00000128641		False
S100A8	ensembl:ENSG00000143546		False
P4HB	ensembl:ENSG00000185624		False
HSP90AA1	ensembl:ENSG00000080824		False
MGP	ensembl:ENSG00000111341		False
HSPD1	ensembl:ENSG00000144381		False
ACTN1	ensembl:ENSG00000072110		False
S100A11	ensembl:ENSG00000163191		False
RPL34	ensembl:ENSG00000109475		False
RPS14	ensembl:ENSG00000164587		False
RPL38	ensembl:ENSG00000172809		False
KPRP	ensembl:ENSG00000203786		False
MYO18A	ensembl:ENSG00000196535		False
LLPH	ensembl:ENSG00000139233		False
EFHD1	ensembl:ENSG00000115468		False
CHCHD3	ensembl:ENSG00000106554		False
NOL12	ensembl:ENSG00000273899		False
NOP56	ensembl:ENSG00000101361		False
ZC3H11A	ensembl:ENSG00000058673		False
CLPX	ensembl:ENSG00000166855		False
H1-2	ensembl:ENSG00000187837		False
MFAP1	ensembl:ENSG00000140259		False
SNW1	ensembl:ENSG00000100603		False
SPCS2	ensembl:ENSG00000118363		False
TXNRD1	ensembl:ENSG00000198431		False
HSD17B12	ensembl:ENSG00000149084		False
NAT10	ensembl:ENSG00000135372		False
SYBU	ensembl:ENSG00000147642		False
SMARCA5	ensembl:ENSG00000153147		False
STAU1	ensembl:ENSG00000124214		False
S100A6	ensembl:ENSG00000197956		False
PCNA	ensembl:ENSG00000132646		False
XRCC6	ensembl:ENSG00000196419		False
VDAC1	ensembl:ENSG00000213585		False
TMOD1	ensembl:ENSG00000136842		False
IDH2	ensembl:ENSG00000182054		False
CCT3	ensembl:ENSG00000163468		False
SPTAN1	ensembl:ENSG00000197694		False
CHD4	ensembl:ENSG00000111642		False
CHERP	ensembl:ENSG00000085872		False
TUBA1C	ensembl:ENSG00000167553		False
POLR1E	ensembl:ENSG00000137054		False
IRF2BPL	ensembl:ENSG00000119669		False
EHD1	ensembl:ENSG00000110047		False
PPAN	ensembl:ENSG00000130810		False
PLRG1	ensembl:ENSG00000171566		False
OAT	ensembl:ENSG00000065154		False
PTMA	ensembl:ENSG00000187514		False
XRCC5	ensembl:ENSG00000079246		False
TKT	ensembl:ENSG00000163931		False
RPL9	ensembl:ENSG00000163682		False
RPL13A	ensembl:ENSG00000142541		False
MKI67	ensembl:ENSG00000148773		False
IQGAP1	ensembl:ENSG00000140575		False
FXR1	ensembl:ENSG00000114416		False
EIF6	ensembl:ENSG00000242372		False
GOLGA4	ensembl:ENSG00000144674		False
ARL6IP4	ensembl:ENSG00000182196		False
RSRC1	ensembl:ENSG00000174891		False
PHB2	ensembl:ENSG00000215021		False
SFXN1	ensembl:ENSG00000164466		False
ACTN4	ensembl:ENSG00000130402;ENSG00000282844		False
ZBTB14	ensembl:ENSG00000198081		False
ANXA2	ensembl:ENSG00000182718		False
TXN	ensembl:ENSG00000136810		False
CD59	ensembl:ENSG00000085063		False
PON1	ensembl:ENSG00000005421		False
YWHAQ	ensembl:ENSG00000134308		False
RPS10	ensembl:ENSG00000124614		False
CAPZB	ensembl:ENSG00000077549		False
SNRPD2	ensembl:ENSG00000125743		False
CCT2	ensembl:ENSG00000166226		False
H3-3B	ensembl:ENSG00000132475		False
H1-1	ensembl:ENSG00000124610		False
AFG3L2	ensembl:ENSG00000141385		False
LMNA	ensembl:ENSG00000160789		False
ALDOA	ensembl:ENSG00000149925		False
KRT1	ensembl:ENSG00000167768		False
RPSA	ensembl:ENSG00000168028		False
S100A7	ensembl:ENSG00000143556		False
CAPZA1	ensembl:ENSG00000116489		False
MYL6	ensembl:ENSG00000092841		False
ACTB	ensembl:ENSG00000075624		False
RPL26	ensembl:ENSG00000161970		False
RPS7	ensembl:ENSG00000171863		False
G3BP1	ensembl:ENSG00000145907		False
IMMT	ensembl:ENSG00000132305		False
EBNA1BP2	ensembl:ENSG00000117395		False
MACROH2A1	ensembl:ENSG00000113648		False
SF3B1	ensembl:ENSG00000115524		False
ZMPSTE24	ensembl:ENSG00000084073		False
MYO1D	ensembl:ENSG00000176658		False
AIFM1	ensembl:ENSG00000156709		False
JUP	ensembl:ENSG00000173801		False
STT3A	ensembl:ENSG00000134910		False
CENPF	ensembl:ENSG00000117724		False
SEC61B	ensembl:ENSG00000106803		False
RPS23	ensembl:ENSG00000186468		False
DHCR24	ensembl:ENSG00000116133		False
C1orf35	ensembl:ENSG00000143793		False
NOP58	ensembl:ENSG00000055044		False
LUC7L2	ensembl:ENSG00000146963		False
NDUFA10	ensembl:ENSG00000130414		False
ATP2A2	ensembl:ENSG00000174437		False
CALR	ensembl:ENSG00000179218		False
CANX	ensembl:ENSG00000127022;ENSG00000283777		False
MCM7	ensembl:ENSG00000166508		False
TAGLN2	ensembl:ENSG00000158710		False
SUB1	ensembl:ENSG00000113387		False
CCAR2	ensembl:ENSG00000158941		False
ABCF1	ensembl:ENSG00000236149;ENSG00000232169;ENSG00000206490;ENSG00000204574;ENSG00000225989;ENSG00000231129;ENSG00000236342		False
UPF3B	ensembl:ENSG00000125351		False
GPHN	ensembl:ENSG00000171723		False
LRPPRC	ensembl:ENSG00000138095		False
CALU	ensembl:ENSG00000128595		False
CTNND1	ensembl:ENSG00000198561		False
CSDE1	ensembl:ENSG00000009307		False
CAPN1	ensembl:ENSG00000014216		False
CTSB	ensembl:ENSG00000285132;ENSG00000164733		False
SLC2A1	ensembl:ENSG00000117394		False
H2AX	ensembl:ENSG00000188486		False
GARS1	ensembl:ENSG00000106105		False
SRP9	ensembl:ENSG00000143742		False
CCT4	ensembl:ENSG00000115484		False
SNU13	ensembl:ENSG00000100138		False
EIF4A1	ensembl:ENSG00000161960		False
SEC61A1	ensembl:ENSG00000058262		False
PPP1CB	ensembl:ENSG00000213639		False
SNRPE	ensembl:ENSG00000182004		False
CNBP	ensembl:ENSG00000169714		False
GTF2I	ensembl:ENSG00000263001		False
SLC25A11	ensembl:ENSG00000108528		False
PPFIA1	ensembl:ENSG00000288198;ENSG00000131626		False
AIMP2	ensembl:ENSG00000106305		False
SRSF6	ensembl:ENSG00000124193		False
TRA2A	ensembl:ENSG00000164548		False
ZMYM3	ensembl:ENSG00000147130		False
ELOA	ensembl:ENSG00000011007		False
LBR	ensembl:ENSG00000143815		False
PPA1	ensembl:ENSG00000180817		False
TUBB8	ensembl:ENSG00000261456		False
ZC3H13	ensembl:ENSG00000123200		False
SND1	ensembl:ENSG00000197157		False
PLCD3	ensembl:ENSG00000161714		False
SREK1	ensembl:ENSG00000153914		False
ZFR	ensembl:ENSG00000056097		False
TUBB6	ensembl:ENSG00000176014		False
UTP14A	ensembl:ENSG00000156697		False
GNL3	ensembl:ENSG00000163938		False
MRPL22	ensembl:ENSG00000082515		False
RRP7A	ensembl:ENSG00000189306		False
SUPT16H	ensembl:ENSG00000092201		False
SQOR	ensembl:ENSG00000137767		False
RPN2	ensembl:ENSG00000118705		False
ACP1	ensembl:ENSG00000143727		False
AIMP1	ensembl:ENSG00000164022		False
PRPF38A	ensembl:ENSG00000134748		False
RAB1B	ensembl:ENSG00000174903		False
RPL26L1	ensembl:ENSG00000037241		False
HNRNPA1	ensembl:ENSG00000135486		False
VCAN	ensembl:ENSG00000038427		False
PKM	ensembl:ENSG00000067225		False
YWHAE	ensembl:ENSG00000108953;ENSG00000274474		False
ARF5	ensembl:ENSG00000004059		False
DSG1	ensembl:ENSG00000134760		False
DBN1	ensembl:ENSG00000113758		False
MPRIP	ensembl:ENSG00000133030		False
MRPL36	ensembl:ENSG00000171421		False
NOL7	ensembl:ENSG00000225921		False
LIMCH1	ensembl:ENSG00000064042		False
GAPDH	ensembl:ENSG00000111640		False
S100A9	ensembl:ENSG00000163220		False
PFN1	ensembl:ENSG00000108518		False
ELOF1	ensembl:ENSG00000130165		False
DCD	ensembl:ENSG00000161634		False
PRKCZ	ensembl:ENSG00000067606		False
S100A16	ensembl:ENSG00000188643		False
NCOA5	ensembl:ENSG00000124160		False
ARGLU1	ensembl:ENSG00000134884		False
HSP90AB1	ensembl:ENSG00000096384		False
EEF2	ensembl:ENSG00000167658		False
RPL22	ensembl:ENSG00000116251		False
MYH10	ensembl:ENSG00000133026		False
PRDX1	ensembl:ENSG00000117450		False
ACTBL2	ensembl:ENSG00000169067		False
LIMA1	ensembl:ENSG00000050405		False
MYO6	ensembl:ENSG00000196586		False
C11orf98	ensembl:ENSG00000278615		False
ZNF593	ensembl:ENSG00000142684		False
VIM	ensembl:ENSG00000026025		False
DSP	ensembl:ENSG00000096696		False
