	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127
AURKB	0.07529391	-0.07427589	-0.12823786	-0.10496424	-0.095258676	-0.08425718	-0.07872049	-0.0006672533	-0.11005527	-0.12209202	-0.04521128	-0.051238336	-0.097097516	-0.095670596	0.0944621	0.046239305	-0.047093134	0.10814698	0.08875556	-0.13225849	-0.06893046	0.06078776	0.042755697	0.0035299663	-0.011271872	0.07930027	0.11538694	0.005985577	-0.08418988	-0.0016582602	0.06476742	-0.08993334	0.055924617	-0.08217737	0.09376734	-0.10773859	0.095414706	-0.03259104	0.10905653	-0.09191951	0.0062666493	0.12673387	0.0926608	0.12037207	-0.112794936	0.097180605	0.0053697987	-0.00191744	0.0073272767	0.07780812	0.005788944	-0.13199036	-0.102494076	-0.09118831	-0.0544	-0.08229227	-0.08599291	-0.046127286	0.09138082	-0.09303585	0.116577774	-0.000414594	-0.08100574	0.1347298	0.12017843	0.1650252	-0.027428642	0.0739572	-0.08876823	0.054955903	-0.06656123	0.111526646	0.06082985	0.14198382	0.08483106	0.002456941	0.09382862	0.073610224	-0.10093004	0.021393634	-0.039770413	-0.10166664	0.060388878	0.116434515	0.10112933	0.094535746	0.08201996	0.111456014	-0.1084718	-0.09449486	-0.03875632	0.10152699	0.04280591	0.12935148	0.09721457	-0.11500543	0.01646526	-0.093890786	0.11548149	0.08870589	-0.048412547	-0.11696788	-0.057387985	0.12876646	-0.13262257	-0.026028614	-0.11152286	-0.049240626	-0.11909934	-0.115977414	-0.09628468	-0.10295571	-0.12554073	-0.09352391	0.04547068	0.039596386	-0.109327696	0.105207846	-0.10664788	0.09241138	0.018694852	0.012711121	0.12101548	0.10487721	-0.09744541	0.102071226	-0.09287801	0.06673331
BAZ1B	0.036193606	-0.085908994	0.08618093	-0.007982243	-0.07231523	0.00069721387	0.059442453	0.028743386	0.061707206	0.07013665	0.090805374	-0.063949615	0.06380108	-0.043847054	-0.12372875	-0.11729132	0.123786576	-0.031494007	-0.07996624	0.026547175	-0.11830756	-0.07670762	-0.10908368	0.1424928	-0.13224666	0.109643236	-0.047582597	-0.15146616	0.059901122	0.14154978	0.0795209	0.12596229	0.06665387	-0.082068175	-0.10891993	-0.01779323	-0.06729925	0.14693129	0.021712882	0.0851207	0.12501372	-0.020636344	-0.060431004	-0.042387985	0.0785598	-0.08461871	0.11067502	-0.14771846	0.095248364	-0.099762775	-0.14309476	0.009476888	-0.0052688294	-0.06722347	0.0759513	0.121677116	0.05443855	-0.116638355	-0.09791659	0.033902526	-0.09431554	-0.16049406	0.08551178	-0.045193765	0.009778141	-0.03680381	0.11421273	-0.14503439	0.06739509	0.10855056	-0.08410838	0.0866655	-0.087354496	-0.0026791561	-0.025815824	-0.1432721	-0.05727941	-0.07715654	-0.036122777	0.1457586	0.1483859	0.08735408	-0.04892385	0.00329093	0.020776905	-0.026829831	-0.02767971	0.08363006	0.030813402	-0.02625217	-0.11277418	0.0030378145	-0.14757743	-0.043460857	-0.028059106	0.054268736	0.119663656	0.11020378	-0.038874272	-0.10217131	0.13785523	-0.01531976	0.070013165	-0.019777806	-0.013584182	-0.16248031	0.08049473	0.15466231	0.04785236	0.010732561	0.0757844	0.044117615	-0.06360408	0.082536586	0.1398605	-0.09559538	0.070024304	0.013791488	0.049908128	-0.07224868	0.16224088	0.13207938	-0.05287094	-0.06805312	-0.1362344	-0.03610184	0.06229973	-0.11332801
BRD7	0.06269222	-0.05925533	0.0726524	-0.015451111	-0.05191034	0.0143542625	0.041214824	0.07383955	0.026705187	0.06106378	0.07397727	-0.114253104	0.03120019	-0.025906157	-0.14683813	-0.15336597	0.09901159	-0.014149373	-0.07650747	0.032149196	-0.14380744	-0.10901488	-0.13810806	0.1344065	-0.1173491	0.118219346	-0.0486997	-0.15071496	0.06877174	0.12630367	0.0764933	0.10478015	0.06764106	-0.08265542	-0.09549038	0.051923886	-0.050717443	0.12144129	0.031868327	0.09251257	0.12794614	0.019326407	-0.0806739	-0.017095061	0.08777904	-0.059034906	0.08770713	-0.14972359	0.099231154	-0.09011869	-0.118849665	0.029047837	-0.0070072743	-0.061985858	0.039719436	0.12947017	0.06120177	-0.13617013	-0.07728969	0.033314098	-0.09476534	-0.15133664	0.06991229	-0.035474394	0.022141889	-0.014984241	0.14005402	-0.14312647	0.054720607	0.12419473	-0.08977923	0.059628256	-0.08849096	-0.0384398	-0.028100003	-0.13350971	-0.0935712	-0.109809324	-0.062460124	0.1592358	0.121666186	0.09888189	-0.035086002	0.014311899	0.034689892	-0.018365055	-0.008719602	0.051568434	-0.0012982672	-0.07266264	-0.08536458	0.015035744	-0.13971367	-0.01854481	-0.048741724	0.06708718	0.13730946	0.07768437	-0.031036336	-0.07282135	0.08162775	-0.0039646197	0.11042202	-0.030514508	0.0017831061	-0.16149406	0.069225	0.14187795	0.097421944	-0.021400614	0.079462975	-0.0039601065	-0.09099208	0.112303756	0.116185054	-0.020464955	0.043466635	0.02866515	0.02587439	-0.10440728	0.18271928	0.107353	-0.07431658	-0.10214822	-0.17285396	-0.06496203	0.064679645	-0.08758409
CBX3	-0.048429288	0.05966502	-0.14510906	0.011263486	0.08430037	0.036844358	-0.046655424	-0.12651035	-0.11742355	-0.040067807	-0.037156332	0.055892814	-0.054239005	0.041397333	0.11619629	0.08372259	-0.08395515	-0.004642797	0.009675871	-0.02206037	0.11678409	0.012865314	0.10086639	-0.11986473	0.17478347	-0.07760909	0.064306006	0.1175769	-0.042045403	-0.14540203	-0.10281291	-0.14392775	-0.12070406	0.083765715	0.12829098	0.042710822	0.06418259	-0.12425007	-0.0052383244	-0.09964669	-0.12453275	0.08154056	0.047144834	0.077725485	-0.0787333	0.046623304	-0.15798068	0.15191561	-0.07901831	0.13512287	0.14709277	-0.020869728	0.024179745	0.073837124	-0.048062902	-0.11902049	-0.05257534	0.13768552	0.051021535	-0.026557999	0.17368063	0.106638834	-0.096527494	0.06445669	-0.03497583	0.0712276	-0.120096065	0.12054957	-0.028909788	-0.09094835	0.10428762	-0.062971115	0.04656658	0.043787446	-0.014521974	0.11157363	0.041586597	0.036026556	0.012611835	-0.11401039	-0.103631616	-0.102397114	0.16317886	0.010225806	-0.028713344	0.00264763	-0.0010196732	-0.07250528	-0.033892725	0.017112417	0.13978958	-0.0063930573	0.15958618	0.052550487	0.06079482	-0.0682037	-0.09533987	-0.129353	0.06945988	0.09623748	-0.105573826	0.018436363	-0.059097577	0.029895008	0.011064361	0.13752459	-0.09323807	-0.1746917	-0.03252418	0.020985229	-0.054407414	-0.0636236	-0.00089804886	-0.10112035	-0.14173481	0.058707982	-0.061521985	-0.0018675538	-0.07717484	0.08151769	-0.14923175	-0.15832235	0.03926152	0.06709365	0.06299882	0.041150298	-0.029676894	0.06896006
CHD1	0.08368148	-0.05724596	0.101363085	-0.02799609	-0.07345072	0.012732955	0.06251151	0.058291703	0.06281071	0.047071066	0.10642342	-0.08740033	0.026868653	-0.02039921	-0.114977434	-0.097676985	0.12169645	-0.008504379	-0.08692994	0.019814413	-0.10343125	-0.088167265	-0.06276382	0.14249225	-0.08703736	0.14243078	-0.015124253	-0.13401437	0.02890981	0.118020594	0.103292435	0.11213169	0.09668897	-0.11743459	-0.06701699	-0.0068599624	-0.053616602	0.14401421	0.01589654	0.068396956	0.17996675	-0.1279865	-0.06281307	-0.044532385	0.11270872	-0.082575925	0.07445272	-0.14074613	0.0692462	-0.0746834	-0.10264896	0.06982357	-0.031755965	-0.07386136	0.030000124	0.13114558	0.074913196	-0.12573777	-0.083634734	0.030001951	-0.12911196	-0.134462	0.0840403	-0.04761973	0.014085514	-0.040747993	0.14213066	-0.14334615	0.07683827	0.10261193	-0.09241066	0.0728364	-0.073043056	-0.019950679	-0.04512706	-0.13513976	-0.07401735	-0.06749695	-0.0840662	0.15878837	0.1325614	0.11450637	-0.06781488	0.02728474	0.03312095	0.009783852	-0.017937718	0.084584385	0.013770412	-0.045367874	-0.086131595	-0.0051488625	-0.12326282	-0.06127945	-0.011255113	0.09161362	0.10603009	0.09829042	-0.037081346	-0.13652343	0.14070442	-0.0080651315	0.10002314	-0.02108654	-0.021369588	-0.12988839	0.07318865	0.16360338	0.054840762	0.00066030095	0.083202876	0.037802845	-0.058326073	0.09063409	0.10625296	-0.09662429	0.047619708	0.016763153	0.07492923	-0.07065545	0.14333385	0.13598013	-0.017699629	-0.0622983	-0.1183659	-0.05485951	0.043500807	-0.15798308
CHD4	-0.0006053614	0.1293284	-0.09936611	0.0036065246	0.06530488	0.0021086878	-0.08934871	-0.06309728	-0.096136734	0.062216084	-0.0963742	-0.02976163	-0.045822944	0.105075	0.036604006	0.076156504	-0.128224	-0.00043903125	0.0076804045	-0.004583468	0.10080146	0.075750105	0.109444536	-0.1127171	0.11012981	-0.1238474	0.043244492	0.12766661	-0.0776699	-0.17593934	-0.078221336	-0.11906849	-0.10000441	0.16450085	0.09762131	0.06834473	0.09142822	-0.13249952	0.02510884	-0.04818394	-0.07257196	0.08293832	0.031442374	0.076018706	-0.03037777	0.078252085	-0.1706351	0.13041902	-0.11092044	0.14375706	0.11702391	-0.029178912	0.006494042	0.034577556	-0.1393998	-0.11020522	-0.08422199	0.1512244	0.003870713	-0.037389144	0.11553838	0.1422942	-0.119151905	0.023625515	-0.05243714	0.06205729	-0.13134567	0.08974318	-0.03580317	-0.15592021	0.07831129	-0.08041878	0.060851727	0.014873599	-0.010003004	0.10892466	0.05762092	-0.041357465	0.02487476	-0.08204659	-0.11339403	-0.08960775	0.174162	-0.0055323653	-0.016604537	0.00677178	0.050292246	-0.082108	0.00042576186	-0.029324781	0.058634866	0.024246776	0.11987074	0.08712721	0.084989086	-0.1041059	-0.123383805	-0.0939097	0.049588095	0.11143855	-0.10669929	-0.00466809	-0.10942969	0.03408054	0.060677916	0.13962474	-0.06098627	-0.12559853	-0.012983535	0.023468599	-0.048746444	-0.056063727	0.039431226	-0.08562294	-0.11480801	0.13877365	-0.07320679	0.025732085	-0.09267847	0.07412277	-0.14921619	-0.14811839	-0.009176914	0.05700308	0.08788761	0.043091305	-0.064430244	0.045811795
DNMT1	-0.093738556	0.053870413	0.05146834	0.09429794	0.101528786	0.09904876	0.07790157	0.022225434	0.03730149	0.12508115	0.06381344	-0.03527826	0.054779273	0.06568481	-0.10099064	-0.16745695	0.058171272	-0.11279718	-0.12787676	0.13511093	0.013768653	-0.07112267	-0.072489426	0.0064509893	0.016586574	-0.07098773	-0.11466967	-0.051909696	0.14989224	-0.023931563	-0.099972986	0.038399063	-0.1119955	0.07771314	-0.06245619	0.17778821	-0.0749263	-0.011031741	-0.084523976	0.08072272	-0.05265391	0.025457064	-0.13840832	-0.035983052	0.09613247	-0.07609282	-0.11130657	0.0010744879	-0.007384141	-0.04352345	-0.014359504	0.084045224	0.13369508	0.0667591	0.06256815	0.08159388	0.09375192	0.008081816	-0.11758039	0.12033738	-0.045872636	-0.026238536	0.04127266	-0.12772584	-0.11569021	-0.0926651	0.044361513	-0.058982693	0.08322829	-0.053751078	0.05941327	-0.07162252	-0.07826867	-0.14260457	-0.123770975	-0.050706062	-0.14811695	-0.1480901	0.03205335	0.020777456	0.04091715	0.04122516	0.0130762	-0.10642153	-0.10841196	-0.11399299	-0.10611301	-0.11470408	0.08323653	0.05194825	0.093609944	-0.09932701	-0.030475894	-0.030622266	-0.14383109	0.10387151	0.05476255	0.027646579	-0.09124676	-0.04101064	-0.05758475	0.13075317	0.10306301	-0.09138204	0.11788575	-0.019814353	0.09702132	0.01497405	0.18594548	0.10091346	0.11188635	0.0069722137	0.042012166	0.13100328	-0.04853286	0.047738034	0.09333826	-0.053529803	0.011754944	-0.14213264	0.044128217	-0.039154984	-0.17030203	-0.14942808	0.031586442	-0.14248489	0.11114557	-0.028567037
DNMT3A	-0.05019029	0.10008208	-0.06848738	0.03120487	0.0789375	0.0027442246	-0.11810012	-0.103090994	-0.09723935	-0.047579564	-0.08429249	0.08791996	-0.013762139	0.06999506	0.15375555	0.14307332	-0.1397941	0.07122505	0.060115926	-0.02662562	0.094418734	0.055317886	0.11456596	-0.17614965	0.12306992	-0.119645916	-0.0008511948	0.13303317	-0.06698804	-0.115816034	-0.092733845	-0.1004918	-0.06689638	0.12007334	0.054042876	-0.024519848	0.06127865	-0.15665293	-0.024976391	-0.006046413	-0.13721831	0.08681051	0.08885966	0.048701	-0.1268058	0.076373145	-0.080529824	0.13530383	-0.060836	0.12067093	0.097032964	0.011210857	0.007219357	0.0928096	-0.053128064	-0.11095466	-0.0488771	0.13031343	0.10504156	-0.059751906	0.081805855	0.14371227	-0.0708461	0.054315813	-0.01840231	0.03838497	-0.15558268	0.101686664	-0.07135013	-0.054929364	0.1241692	-0.094022416	0.077179186	-0.0053458447	0.0062621036	0.11625	0.07929756	0.07900465	0.049977418	-0.14254846	-0.124790296	-0.07385296	0.10068938	-0.010061304	-0.047659468	0.01327324	0.019675352	-0.062341496	0.0029111037	0.007187948	0.12112209	-0.034792062	0.13142844	0.052227225	0.057668354	-0.10060142	-0.11985083	-0.049823865	-0.010591903	0.08350483	-0.04273095	-0.024097858	-0.0894603	0.033372797	0.033300705	0.14931774	-0.111121185	-0.13643798	-0.06371175	0.0244094	-0.09072204	-0.014982117	0.0717164	-0.12826239	-0.13323769	0.1419423	-0.07033072	-0.04354146	-0.03984753	0.043119576	-0.12466325	-0.11367663	0.050582077	0.0801521	0.063692756	0.088117175	-0.019594416	0.13210164
DNMT3B	-0.08333369	0.03578173	0.06573511	0.09826808	0.111888275	0.11739591	0.11184484	-0.09968526	0.09591358	0.11905289	0.089121975	0.070209496	0.08776972	0.10260069	-0.06990272	-0.0344986	0.055336338	-0.14120875	-0.09972474	0.13498004	0.08964946	-0.08203468	-0.058961473	-0.025801292	0.023797201	-0.06417545	-0.09286268	0.0033731337	0.103419974	-0.014054592	-0.09144975	0.08218488	-0.09983383	0.054321833	-0.038843468	0.12163103	-0.09009478	0.042669352	-0.124764726	0.071648315	-0.029434217	-0.13028936	-0.11456972	-0.13165352	0.10677301	-0.09296185	-0.030202806	0.015732907	-0.038139284	-0.037603308	-0.0043565426	0.1588611	0.08211978	0.103081346	0.10252561	0.054807916	0.08019489	0.056776047	-0.121229015	0.07952569	-0.087942995	-0.03401705	0.0837877	-0.093084365	-0.12217082	-0.14010218	0.02300275	-0.07779679	0.114344515	-0.0545419	0.09497078	-0.08935629	-0.05760011	-0.0749706	-0.08241116	-0.005392549	-0.07399947	-0.041347586	0.09642266	-0.025973378	0.044131678	0.10163064	-0.017793909	-0.0998397	-0.052256085	-0.08708721	-0.09750341	-0.108439334	0.06406006	0.08787018	0.073867515	-0.13518755	-0.0037540102	-0.1357225	-0.05065968	0.11464356	-0.010689192	0.06870488	-0.07128247	-0.15132706	0.09787895	0.12789237	0.041245297	-0.13689843	0.11613003	-0.029671432	0.07988896	0.02130357	0.081555486	0.13296351	0.0825226	0.07642668	0.14454855	0.06308682	-0.080677874	-0.16610196	0.11014644	-0.098175704	0.103114754	-0.042157628	-0.0060233776	-0.047775235	-0.09874991	-0.07657197	0.06400601	-0.06216719	0.1474273	-0.07974419
EHMT1	0.07969552	-0.04584077	-0.13120387	-0.09868717	-0.07246512	-0.035301562	-0.100707784	0.019817643	-0.13409747	-0.2021508	-0.023560658	-0.054875597	-0.11438284	-0.061913915	0.11800625	0.02915065	0.002997283	0.12618151	0.02060151	-0.11861466	-0.07261713	-0.0077474094	0.096364036	0.017028192	0.06553946	0.1254996	0.16723748	0.007867909	-0.083842464	-0.0011207146	0.06512732	-0.12773338	0.0705543	-0.11428771	0.13913245	-0.09234336	0.09810165	-0.04009394	0.11529009	-0.11734546	0.01551673	0.058928326	0.116528146	0.112368	-0.09394135	0.056417882	-0.03906745	-0.006853515	0.014332326	0.116095245	0.08215825	-0.06436721	-0.076512665	-0.068522274	-0.05313721	-0.05727937	-0.046584796	-0.052964382	0.12965877	-0.08102501	0.11320862	0.03668295	-0.08308357	0.12518203	0.11395118	0.15328877	0.01766936	0.06033507	-0.044722583	0.055983845	-0.06452655	0.08320714	0.0673185	0.116895795	0.021496885	0.0022637164	0.038432762	0.07531672	-0.11361449	0.037947223	-0.024729526	-0.10306282	0.063666366	0.13683556	0.08419951	0.124694236	0.056685694	0.10629794	-0.11046147	-0.08361171	0.06997126	0.0842418	0.07329375	0.103756115	0.08083883	-0.063758984	0.00031633	-0.11377725	0.11123586	0.08063776	-0.045673348	-0.08830738	-0.02038722	0.13476412	-0.13701297	0.028705548	-0.12808096	-0.07329664	-0.10399978	-0.096600115	-0.049466822	-0.11837145	-0.17046884	-0.10318011	0.009445662	0.07906421	-0.1428139	0.09068443	-0.08162323	0.07168395	-0.0025835459	0.016033882	0.13323274	0.082395084	-0.083544776	0.062173493	-0.09977531	0.046767272
HDAC1	0.11240821	-0.01987328	-0.017922418	-0.11315437	-0.12300383	-0.10529269	-0.13754246	0.038776677	-0.046253465	-0.094546996	-0.11062057	-0.055712335	-0.05099582	-0.05555167	0.07677203	0.13229284	-0.11241948	0.09375579	0.13275068	-0.13117637	-0.041629296	0.11551567	0.04533928	-0.004140674	-0.050628815	0.03948335	0.0705237	0.07076354	-0.11211104	0.021392716	0.09282366	-0.021169206	0.11901526	-0.083315305	0.06013195	-0.16227186	0.09724081	-0.04413821	0.096591786	-0.027623307	0.006189934	0.02155713	0.09858488	0.08451567	-0.064493276	0.12440054	0.05673377	-0.011930093	-0.005902718	0.03617399	-0.031148305	-0.10791741	-0.1395123	-0.10611373	-0.09768495	-0.06877971	-0.10647317	-0.025735721	0.093278274	-0.10987193	0.0076139313	0.043274187	-0.07515186	0.120161034	0.12031883	0.0920922	-0.060883157	0.038732227	-0.12262681	0.07812273	-0.09127585	0.07193022	0.08313575	0.13860554	0.13179056	0.020407256	0.15836158	0.049003337	-0.043681506	0.03932131	-0.059216518	-0.036676664	-0.012130294	0.09226077	0.12447324	0.10923592	0.10724935	0.09329389	-0.03282378	-0.10791914	-0.12423392	0.10858679	0.046042185	0.11422185	0.11393302	-0.113462046	-0.015168011	0.0053482526	0.047936372	0.082121074	0.012409069	-0.15154704	-0.07119823	0.1342137	-0.0881037	-0.0056609204	-0.08577888	-0.018837007	-0.16261302	-0.094914645	-0.10937512	-0.034080923	-0.047278557	-0.087659754	0.04542694	0.1137487	-0.13465703	0.0992469	-0.06870355	0.08397397	-0.010486896	0.04066246	0.12506422	0.11478934	-0.10583619	0.12932673	-0.09786875	0.057716716
HDAC2	0.13186689	0.0058850506	-0.019896971	-0.16663481	-0.09262665	-0.16635555	-0.046739586	0.15077868	-0.09201563	-0.070746176	-0.096332334	-0.15093194	-0.09479078	-0.1645048	0.07700576	0.045193393	-0.060699284	0.06984435	0.0607091	-0.12849692	0.01865053	0.15857452	0.08620697	0.037287887	-0.044769455	0.03833244	0.07519204	0.028498596	-0.037254006	-0.0781898	0.14411172	-0.048075	0.08075569	-0.050842836	0.12997016	-0.09468678	0.098843895	-0.0683229	0.14132498	-0.14393352	-0.006058248	-0.040430646	0.063512914	0.12477161	-0.050627116	0.118860304	-0.031735484	0.013798712	-0.16076331	0.032723248	0.035399877	-0.017808886	-0.108857565	-0.13990699	-0.11101821	-0.07463113	-0.13504198	-0.03403179	0.071961	-0.10472263	0.0013156352	0.060400542	-0.10191982	0.10131671	0.09217386	0.06908931	-0.016017942	0.117702186	-0.16374251	-0.032538198	-0.0854383	0.08793028	0.09055797	0.08849016	0.08862515	0.020787448	0.11233809	0.009078778	-0.12953992	0.025160315	-0.0790058	-0.094476245	0.0040463503	0.059175596	0.044905953	0.13496758	0.11708869	0.05193989	-0.030796187	-0.106176384	-0.13889685	0.11364595	0.031404223	0.11615557	0.048414215	-0.0712453	0.103218116	-0.09592865	0.07119092	0.08263929	-0.10719998	-0.09164777	-0.052846994	0.13366349	-0.08635419	0.030030364	-0.03528341	-0.030380646	-0.039783284	-0.1270751	-0.091583	-0.073887005	-0.012950417	-0.007727743	0.0097613195	0.055936452	-0.053014953	0.14327353	-0.08325327	0.077489346	0.00824571	0.015039322	0.110746205	0.1043706	-0.0071305777	0.0092344405	-0.092482954	0.023425264
